-- =============================================================================
-- Qahse.WindL v1.0.0 .dat user wind speed time-series input
-- =============================================================================
3 nComp   - Number of velocity components in the file
2 nPoints - Number of time series points in the file
2 RefPtID - Reference point id (1-nPoints)
Pointyi Pointzi
(m)     (m)
0 30
0 76
-------- Time Series -----------------------------------------------------------
ElapsedTime Point01u Point01v Point01w Point02u Point02v Point02w
!Begin      - 鏁版嵁璇诲彇寮€濮嬫爣璁帮紝璇峰嬁鍒犻櫎
0 10.023899999999999 -6.5673000000000004 0.17000000000000001 10.7104 -4.3265000000000002 -0.26569999999999999
0.050000000000000003 9.8543000000000003 -6.6871 0.2014 10.553900000000001 -4.5655999999999999 -0.16350000000000001
0.10000000000000001 9.6866000000000003 -6.9836999999999998 -0.027400000000000001 10.6105 -4.1738 -0.19070000000000001
0.14999999999999999 9.7324000000000002 -7.0552000000000001 -0.0051000000000000004 10.6691 -4.4154999999999998 -0.067500000000000004
0.20000000000000001 10.689299999999999 -6.8506999999999998 -0.9577 10.389699999999999 -4.9771000000000001 0.2487
0.25 9.9230999999999998 -7.3007 0.76559999999999995 10.4993 -4.6567999999999996 0.1041
0.29999999999999999 10.608700000000001 -7.4602000000000004 1.1109 10.6404 -4.6215999999999999 0.40160000000000001
0.34999999999999998 10.7004 -6.5529999999999999 1.5361 10.606 -5.0307000000000004 0.2697
0.40000000000000002 10.623900000000001 -6.5869999999999997 0.97150000000000003 10.2804 -5.5762 0.21310000000000001
0.45000000000000001 10.317299999999999 -6.9557000000000002 0.76570000000000005 9.7826000000000004 -5.9725000000000001 0.45810000000000001
0.5 10.1416 -7.2209000000000003 0.75670000000000004 10.0303 -4.9715999999999996 0.63090000000000002
0.55000000000000004 10.5047 -6.7511999999999999 0.61499999999999999 9.2657000000000007 -4.9317000000000002 0.35160000000000002
0.59999999999999998 10.747400000000001 -6.2915999999999999 1.0679000000000001 9.8544999999999998 -4.6792999999999996 0.97240000000000004
0.65000000000000002 10.0867 -7.4206000000000003 0.50360000000000005 9.7204999999999995 -4.9432 1.1457999999999999
0.69999999999999996 9.8459000000000003 -7.4542000000000002 -1.2709999999999999 8.9697999999999993 -4.7850000000000001 1.0774999999999999
0.75 9.6426999999999996 -7.2454999999999998 -1.4315 9.3917000000000002 -4.6784999999999997 1.1891
0.80000000000000004 9.5694999999999997 -7.7153 -0.73429999999999995 9.5739000000000001 -4.4328000000000003 1.1584000000000001
0.84999999999999998 10.2921 -6.9917999999999996 -0.99790000000000001 9.6577999999999999 -4.3620000000000001 1.2126999999999999
0.90000000000000002 9.8191000000000006 -6.6210000000000004 0.39979999999999999 9.8742999999999999 -4.2941000000000003 1.0935999999999999
0.94999999999999996 10.0563 -6.9999000000000002 0.2417 10.3157 -4.2558999999999996 1.1259999999999999
1 9.2219999999999995 -5.9307999999999996 0.80000000000000004 9.9854000000000003 -4.1755000000000004 1.2094
1.05 10.0784 -5.5373999999999999 2.1953999999999998 9.5216999999999992 -4.6836000000000002 0.87529999999999997
1.1000000000000001 9.5813000000000006 -5.8414999999999999 2.4203999999999999 10.2011 -4.7454999999999998 0.90990000000000004
1.1499999999999999 10.1393 -5.7390999999999996 1.2873000000000001 9.5294000000000008 -5.2682000000000002 0.69550000000000001
1.2 10.3018 -6.1909999999999998 0.70479999999999998 9.3079000000000001 -5.5758000000000001 0.56410000000000005
1.25 10.449199999999999 -6.5951000000000004 1.0126999999999999 9.5492000000000008 -6.0838000000000001 0.69650000000000001
1.3 9.7664000000000009 -7.2436999999999996 0.76759999999999995 9.8434000000000008 -6.0361000000000002 1.7627999999999999
1.3500000000000001 8.8918999999999997 -7.6760000000000002 -0.097900000000000001 10.185499999999999 -5.7702999999999998 2.1307
1.3999999999999999 8.5237999999999996 -7.3007999999999997 -0.377 10.8332 -4.6349 1.7131000000000001
1.45 8.8622999999999994 -7.0774999999999997 -0.96060000000000001 11.074 -3.6286999999999998 1.5952
1.5 8.9727999999999994 -7.6597 -1.1552 10.754899999999999 -4.2619999999999996 1.7991999999999999
1.55 8.8930000000000007 -7.7153 -1.76 10.7559 -5.3922999999999996 1.5489999999999999
1.6000000000000001 8.7847000000000008 -7.8034999999999997 -1.7909999999999999 10.659000000000001 -5.4634 1.5515000000000001
1.6499999999999999 8.6722000000000001 -7.9130000000000003 -1.7895000000000001 10.566800000000001 -5.5335999999999999 1.5622
1.7 8.6791999999999998 -7.9208999999999996 -1.8254999999999999 10.571099999999999 -5.5282999999999998 1.5696000000000001
1.75 8.6504999999999992 -7.9253999999999998 -1.7693000000000001 10.5092 -5.5570000000000004 1.5819000000000001
1.8 8.7472999999999992 -7.8601999999999999 -1.7648999999999999 10.5716 -5.5259 1.5687
1.8500000000000001 8.8064999999999998 -7.8033999999999999 -1.7382 10.641500000000001 -5.4649000000000001 1.5714999999999999
1.8999999999999999 8.7629000000000001 -7.8337000000000003 -1.7256 10.5815 -5.5092999999999996 1.5585
1.95 8.7325999999999997 -7.8387000000000002 -1.7157 10.5603 -5.5014000000000003 1.5685
2 8.7759 -7.7881 -1.7130000000000001 10.625 -5.4457000000000004 1.5724
2.0499999999999998 8.8472000000000008 -7.7257999999999996 -1.6620999999999999 10.6607 -5.3975999999999997 1.5766
2.1000000000000001 8.8375000000000004 -7.7343999999999999 -1.6386000000000001 10.623900000000001 -5.4333 1.5732999999999999
2.1499999999999999 8.7139000000000006 -7.8407 -1.6959 10.5139 -5.4804000000000004 1.5946
2.2000000000000002 8.8434000000000008 -7.7618 -1.7039 10.621 -5.4066000000000001 1.5815999999999999
2.25 8.8594000000000008 -7.7580999999999998 -1.6981999999999999 10.6557 -5.3952 1.5797000000000001
2.2999999999999998 8.7827999999999999 -7.8186999999999998 -1.6868000000000001 10.546200000000001 -5.4706999999999999 1.5802
2.3500000000000001 8.6489999999999991 -7.9208999999999996 -1.7211000000000001 10.435600000000001 -5.5355999999999996 1.5936999999999999
2.3999999999999999 8.6181999999999999 -7.9447999999999999 -1.7042999999999999 10.3645 -5.5933999999999999 1.5882000000000001
2.4500000000000002 8.6755999999999993 -7.8891999999999998 -1.7185999999999999 10.448600000000001 -5.5233999999999996 1.5875999999999999
2.5 8.7139000000000006 -7.8749000000000002 -1.7 10.457800000000001 -5.5214999999999996 1.5834999999999999
2.5499999999999998 8.6180000000000003 -7.9462999999999999 -1.6680999999999999 10.351100000000001 -5.5894000000000004 1.6020000000000001
2.6000000000000001 8.5114999999999998 -8.0370000000000008 -1.6832 10.259399999999999 -5.6378000000000004 1.6132
2.6499999999999999 8.4642999999999997 -8.0707000000000004 -1.6605000000000001 10.237500000000001 -5.6841999999999997 1.6028
2.7000000000000002 8.4657999999999998 -8.0464000000000002 -1.6556 10.266299999999999 -5.6634000000000002 1.5982000000000001
2.75 8.4217999999999993 -8.0997000000000003 -1.6792 10.218 -5.6866000000000003 1.5969
