# frequency_Hz amplitude_m phase_deg direction_deg wavenumber_rad_per_m
0.0540815479372315 0.265165042944955 318.005455965558 -2.856 0.0140195519585279
0.0646779416151639 0.265165042944955 155.85898524357 10.062 0.0182914051319235
0.0716135722227532 0.375 265.539417216633 2.856 0.0216206510203355
0.0778047086815666 0.375 93.3888850403058 -10.062 0.0249986451769505
0.0825272681037962 0.375 49.3029581349474 -2.856 0.0278433383546937
0.0861362104792432 0.375 176.550406561509 10.062 0.0301730837998838
0.0891442092745753 0.375 49.6678091213839 2.856 0.0322159600660764
0.0917782289240509 0.375 188.250043607159 -10.062 0.034078463887143
0.0941505337652422 0.375 338.132833911917 -2.856 0.0358133015849609
0.0963264285557322 0.375 233.712980367053 10.062 0.0374512337353819
0.0983478718069556 0.375 189.734394802228 2.856 0.0390121285249043
0.100245294684139 0.375 352.848905225487 -10.062 0.0405110000002172
0.102143318890503 0.375 292.413073115803 -2.856 0.0420424931094575
0.104115403659092 0.375 329.361041380265 10.062 0.0436672873137195
0.106170961352927 0.375 197.668921857074 2.856 0.0453967293612301
0.108321584117261 0.375 276.65730216771 -10.062 0.0472448452496397
0.110581824081883 0.375 156.85846370344 -2.856 0.0492293030966943
0.112970375782117 0.375 235.319219441372 10.062 0.0513728695049526
0.115511942135203 0.375 323.381328211235 2.856 0.0537057063080736
0.118240341858672 0.375 53.0818970350346 -10.062 0.0562691935123693
0.121196409019115 0.375 267.686342889423 -2.856 0.0591152944282988
0.124364557914262 0.375 246.694530792934 10.062 0.0622445276822215
0.127774970950961 0.375 180.164031065301 2.856 0.0657039870915463
0.13149352924987 0.375 70.7657926650981 -10.062 0.0695831821843005
0.135622807605834 0.375 343.24813815376 -2.856 0.0740215892014854
0.140339264542183 0.375 265.671812543527 10.062 0.079259259749183
0.14600004391418 0.375 76.5196074354067 2.856 0.0857821621021337
0.153351082440126 0.375 134.494030835158 -10.062 0.0946377665229012
0.162038882887589 0.375 116.657461331568 -2.856 0.105664528447038
0.172400375170525 0.375 290.810187222221 10.062 0.119609904408754
0.186092640332465 0.375 92.461884522017 2.856 0.139363525749443
0.203397789777095 0.265165042944955 255.78102802899 -10.062 0.166488096537697
0.220522651931283 0.265165042944955 283.767512739186 -2.856 0.195702846432685
0.235709789581363 0.1875 295.937944458822 10.062 0.223586701849518
0.24766747557083 0.1875 183.033582901747 2.856 0.246847472230324
0.262189814192126 0.1875 246.202619614124 -10.062 0.276644704171758
0.282395794615631 0.1875 8.25444623411929 -2.856 0.320927682022923
