# frequency_Hz amplitude_m phase_deg direction_deg wavenumber_rad_per_m
0.05 0.517168445913412 -90 0 0.0125930743911088
0.1 0.869087449993754 -90 0 0.0403154099818378
0.15 0.620780023709354 90 0 0.0905468554009809
0.2 0.25698787038477 90 0 0.160972141098518
0.25 0.171393520831129 89.9999999999999 0 0.25151897046609
0.3 0.079142407272636 89.9999999999999 0 0.362187317471169
0.35 0.0680812394189194 89.9999999999999 0 0.492977182113536
0.4 0.0480940686445303 89.9999999999998 0 0.643888564393189
0.45 0.0401074064173263 90.0000000000003 0 0.81492146431013
0.5 0.0411999999999997 90.0000000000011 0 1.00607588186436
