# frequency_Hz amplitude_m phase_deg direction_deg wavenumber_rad_per_m
0.0668780710429561 0.264793551658646 289.354612928635 -11.196 0.0192977718597612
0.0701215094878325 0.264793551658646 240.621279580888 0 0.02086500673365
0.0720143450695241 0.264793551658646 105.159009384907 11.196 0.0218274237212115
0.0734558399663789 0.264793551658646 200.265285583681 -11.196 0.0225846103688471
0.0746632789780361 0.264793551658646 286.203500457929 0 0.023235215293953
0.075726463058556 0.264793551658646 295.935881859135 11.196 0.0238205482127296
0.0766920845344911 0.264793551658646 95.3563949025211 -11.196 0.0243623343807872
0.0775879803574248 0.264793551658646 126.567346502898 0 0.0248736849707973
0.0784321460740077 0.264793551658646 199.535803119594 11.196 0.0253631763217711
0.0792370962621729 0.264793551658646 75.3582154545017 -11.196 0.0258368639393733
0.0800119395620719 0.264793551658646 308.90870126865 0 0.0262992304652665
0.0807636240962758 0.264793551658646 94.1707560321448 11.196 0.0267537687599367
0.0814976699969667 0.264793551658646 321.834893157538 -11.196 0.0272033272265054
0.0822185081858373 0.264793551658646 206.765476513645 0 0.0276502535970507
0.0829299298709144 0.264793551658646 45.5544456076961 11.196 0.0280966297994839
0.0836351859939606 0.264793551658646 72.634663255961 -11.196 0.0285443068013747
0.0843371677364115 0.264793551658646 306.197679650584 0 0.0289949982471018
0.0850385153720492 0.264793551658646 222.543304229811 11.196 0.0294503365510155
0.0857417019295603 0.264793551658646 171.805320126556 -11.196 0.0299119179808484
0.0864491016732328 0.264793551658646 104.775667555096 0 0.030381341865694
0.0871630471043736 0.264793551658646 105.364967299764 11.196 0.0308602455149607
0.0878858772573109 0.264793551658646 308.376765603397 -11.196 0.0313503360988797
0.0886200117871825 0.264793551658646 264.037209084474 0 0.0318534428163074
0.0893679523801349 0.264793551658646 344.233813874318 11.196 0.0323715221676407
0.090132406116138 0.264793551658646 310.750474038123 -11.196 0.0329067496700233
0.0909162519150907 0.264793551658646 214.028543046091 0 0.0334615061693224
0.0917227274281386 0.264793551658646 17.8666749034251 11.196 0.0340385220826826
0.0925553551316372 0.264793551658646 199.745629256845 -11.196 0.0346408418957696
0.093418201956112 0.264793551658646 254.004534413659 0 0.0352720320752321
0.0943158565568767 0.264793551658646 208.988477848866 11.196 0.0359361938505921
0.0952536873126734 0.264793551658646 167.1989583645 -11.196 0.036638189318701
0.0962379405140122 0.264793551658646 4.0808458262109 0 0.037383763591048
0.0972760357883538 0.264793551658646 31.5447373151455 11.196 0.038179830639431
0.0983768233421718 0.264793551658646 164.858925917215 -11.196 0.0390347548548398
0.0995511205934171 0.264793551658646 277.172042039136 0 0.0399588820801492
0.100811974708391 0.264793551658646 150.581845846388 11.196 0.0409649034795047
0.102175528623056 0.264793551658646 227.170131618985 -11.196 0.0420687573346977
0.103661859171455 0.264793551658646 94.8274597146558 0 0.0432906121091848
0.105295749792097 0.264793551658646 75.9093132076419 11.196 0.0446559254409925
0.107107777133449 0.264793551658646 96.6546354085433 -11.196 0.046196936997477
0.109134876003993 0.264793551658646 285.913339184889 0 0.0479539534799799
0.11141951593427 0.264793551658646 249.329123217589 11.196 0.0499756639439973
0.114005606165311 0.264793551658646 347.108565404226 -11.196 0.0523166392115674
0.116929498844339 0.264793551658646 85.1398241067528 0 0.0550299617294108
0.120205531764676 0.264793551658646 217.012604859395 11.196 0.0581533393359071
0.123813505279342 0.264793551658646 268.495029720232 -11.196 0.0616943907149367
0.127701329855675 0.264793551658646 81.9494957782298 0 0.0656282928556653
0.131806153302236 0.264793551658646 18.2273922538689 11.196 0.0699143984001728
0.136079707203531 0.264793551658646 66.6251974040378 -11.196 0.0745211402563536
0.140501679245108 0.264793551658646 19.4255804442459 0 0.0794428143509104
0.145080101811014 0.264793551658646 305.304244630848 11.196 0.0847045574510592
0.149846675810336 0.264793551658646 291.439831582 -11.196 0.0903618438791142
0.154853168986996 0.264793551658646 126.475242416656 0 0.0965008121598362
0.160171144106625 0.264793551658646 190.92628189695 11.196 0.103242686901527
0.16589589803585 0.264793551658646 239.127650374548 -11.196 0.110754665177729
0.172155350886474 0.264793551658646 70.5501187809703 0 0.11927015452741
0.17912669655521 0.264793551658646 342.81062888701 11.196 0.129125305777645
0.187066541869552 0.264793551658646 323.842937158161 -11.196 0.140826039347433
0.196368547303289 0.264793551658646 178.477840685923 0 0.155179584236288
0.207683638237829 0.264793551658646 66.010192695982 11.196 0.173578246109147
0.222204619604801 0.264793551658646 31.7119092248183 -11.196 0.198699555961953
0.2424810727024 0.264793551658646 56.2400660109443 0 0.236617258695829
0.265286380912335 0.187237315992299 248.996039642554 11.196 0.28321786163436
0.288269481694788 0.187237315992299 181.4980479802 -11.196 0.334416782281611
0.305354424461358 0.0424009025665909 272.946058028369 0 0.37523139124359
0.307311853310637 0.0424009025665909 54.2112425915206 11.196 0.380057539852983
0.309333516899037 0.0424009025665909 171.556552259355 -11.196 0.385074435800774
0.311423401088145 0.0424009025665909 62.7031589409535 0 0.390295205284361
0.31358586546651 0.0424009025665909 161.664075085234 11.196 0.395734294066905
0.31582569988302 0.0424009025665909 147.394296048766 -11.196 0.401407667382489
0.318148131322504 0.0424009025665909 200.89788517626 0 0.407332893972189
0.320558942126008 0.0424009025665909 225.643527325327 11.196 0.413529524242038
0.3230645027864 0.0424009025665909 261.006050430684 -11.196 0.420019267358544
0.325671880849438 0.0424009025665909 337.46679216912 0 0.426826380861464
0.328388943048462 0.0424009025665909 220.870557042635 11.196 0.433978067003847
0.331224433906018 0.0424009025665909 40.9342947991741 -11.196 0.44150483336396
0.334188187108387 0.0424009025665909 268.672915524816 0 0.449441237952749
0.337291247332033 0.0424009025665909 47.1789467841967 11.196 0.457826442278051
0.340546083182322 0.0424009025665909 41.1098437204724 -11.196 0.46670505889322
0.3439668467469 0.0424009025665909 207.441325422859 0 0.476128194546133
0.34756971412039 0.0424009025665909 109.879960550029 11.196 0.4861548051884
0.351373212955957 0.0424009025665909 271.667010586401 -11.196 0.496853128818148
0.355398751055337 0.0424009025665909 51.8612980743185 0 0.508302825569543
0.359671215100446 0.0424009025665909 214.27329487356 11.196 0.520597518417369
0.364219728756614 0.0424009025665909 89.341652016046 -11.196 0.533848052263416
0.369078691491541 0.0424009025665909 8.00449036028749 0 0.548186926215909
0.374289058414588 0.0424009025665909 299.934658983716 11.196 0.563773934036886
0.379900108691322 0.0424009025665909 321.645066811886 -11.196 0.580803954881589
0.385971814846649 0.0424009025665909 256.131662424197 0 0.599517567001461
0.392578067223259 0.0424009025665909 176.819867908576 11.196 0.620215755296469
0.399811267412611 0.0424009025665909 182.23373745311 -11.196 0.643281093965099
0.407788890263279 0.0424009025665909 290.829525490392 0 0.669208592906038
0.416663237080951 0.0424009025665909 227.737470366795 11.196 0.698652305486005
0.426636286749007 0.0424009025665909 200.794773450552 -11.196 0.732497776810965
0.437983356531956 0.0424009025665909 328.430262248344 0 0.771979813986666
0.451092356230499 0.0424009025665909 154.348814355654 11.196 0.818882642007136
0.466532974674642 0.0424009025665909 41.5943191340126 -11.196 0.875901801896781
0.485187237014747 0.0424009025665909 314.440334275957 0 0.947347831950549
0.508520231110416 0.0424009025665909 35.3617889180102 11.196 1.04065601962795
0.539216834536398 0.0424009025665909 357.620990200038 -11.196 1.17008554572491
0.582985226122856 0.0424009025665909 169.186105285526 0 1.36774717849851
0.655509083214216 0.0424009025665909 145.601106496158 11.196 1.72921166786985
0.836003885504082 0.0424009025665909 315.531158253386 -11.196 2.81259578232734
