CaseName,Status,Message,OutputDir,DerivedQwd,LogPath,ExitCode,DurationSeconds,RowIndex
NREL5MW_ETM_U16,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U16,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U16\NREL5MW_ETM_U16.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U16\NREL5MW_ETM_U16.log,0,295.1798809,15
NREL5MW_EOG_U16,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U16,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U16\NREL5MW_EOG_U16.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U16\NREL5MW_EOG_U16.log,0,254.74184650000001,16
NREL5MW_NTM_U22,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U22,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U22\NREL5MW_NTM_U22.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U22\NREL5MW_NTM_U22.log,0,295.35856669999998,17
NREL5MW_ETM_U22,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U22,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U22\NREL5MW_ETM_U22.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U22\NREL5MW_ETM_U22.log,0,181.35353140000001,18
NREL5MW_EOG_U22,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U22,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U22\NREL5MW_EOG_U22.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U22\NREL5MW_EOG_U22.log,0,169.07806339999999,19
NREL5MW_EDC_Pos_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EDC_Pos,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EDC_Pos\NREL5MW_EDC_Pos_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EDC_Pos\NREL5MW_EDC_Pos_U11p4.log,0,146.35026819999999,20
NREL5MW_EDC_Neg_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EDC_Neg,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EDC_Neg\NREL5MW_EDC_Neg_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EDC_Neg\NREL5MW_EDC_Neg_U11p4.log,0,142.0033961,21
NREL5MW_ECD_Pos_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ECD_Pos,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ECD_Pos\NREL5MW_ECD_Pos_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ECD_Pos\NREL5MW_ECD_Pos_U11p4.log,0,140.96430749999999,22
NREL5MW_ECD_Neg_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ECD_Neg,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ECD_Neg\NREL5MW_ECD_Neg_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ECD_Neg\NREL5MW_ECD_Neg_U11p4.log,0,137.2728347,23
NREL5MW_EWS_Pos_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWS_Pos,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWS_Pos\NREL5MW_EWS_Pos_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWS_Pos\NREL5MW_EWS_Pos_U11p4.log,0,131.17601250000001,24
NREL5MW_EWS_Neg_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWS_Neg,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWS_Neg\NREL5MW_EWS_Neg_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWS_Neg\NREL5MW_EWS_Neg_U11p4.log,0,126.48870359999999,25
NREL5MW_EWM1_Steady,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM1_Steady,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM1_Steady\NREL5MW_EWM1_Steady.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM1_Steady\NREL5MW_EWM1_Steady.log,0,130.68794149999999,26
NREL5MW_EWM1_Turbulent,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM1_Turbulent,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM1_Turbulent\NREL5MW_EWM1_Turbulent.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM1_Turbulent\NREL5MW_EWM1_Turbulent.log,0,132.88408509999999,27
NREL5MW_EWM50_Steady,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM50_Steady,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM50_Steady\NREL5MW_EWM50_Steady.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM50_Steady\NREL5MW_EWM50_Steady.log,0,129.86652290000001,28
NREL5MW_EWM50_Turbulent,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM50_Turbulent,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM50_Turbulent\NREL5MW_EWM50_Turbulent.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EWM50_Turbulent\NREL5MW_EWM50_Turbulent.log,0,132.76709510000001,29
NREL5MW_UNIFORM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\UNIFORM_U11p4,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\UNIFORM_U11p4\NREL5MW_UNIFORM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\UNIFORM_U11p4\NREL5MW_UNIFORM_U11p4.log,0,128.53071170000001,30
