time,NODE_TowerTop.x,NODE_TowerTop.y,NODE_TowerTop.z,NODE_TowerTop.vx,NODE_TowerTop.vy,NODE_TowerTop.vz,NODE_TowerTop.ax,NODE_TowerTop.ay,NODE_TowerTop.az,NODE_TowerTop.q0,NODE_TowerTop.q1,NODE_TowerTop.q2,NODE_TowerTop.q3,BODY_Nacelle.x,BODY_Nacelle.y,BODY_Nacelle.z,BODY_Nacelle.vx,BODY_Nacelle.vy,BODY_Nacelle.vz,BODY_Nacelle.ax,BODY_Nacelle.ay,BODY_Nacelle.az,BODY_Nacelle.q0,BODY_Nacelle.q1,BODY_Nacelle.q2,BODY_Nacelle.q3
0,0,0,90,0,0,0,0,0,0,1,0,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0
0.01,3.306975634072851e-05,0,89.99925039662287,0.003306975634072851,0,-0.07496033771265806,0.3306975634072851,0,-7.496033771265806,0.9999999999996222,0,8.69244705819862e-07,0,3.306975634072847e-05,0,89.99925039662287,0.003306975634072847,0,-0.07496033771265748,0.3306975634072846,0,-7.496033771265748,0.9999999999996222,0,8.692447058198617e-07,0
0.02,9.756938893020038e-05,2.548841247553824e-17,89.99821402537914,0.006449963258947188,2.548841247553824e-15,-0.1036371243725479,0.3142987624874337,2.548841247553824e-13,-2.867678665988986,0.9999999999956759,1.382451749891231e-18,2.94076513796688e-06,-2.513328711703347e-22,9.756938893020027e-05,2.548841245978265e-17,89.99821402537914,0.006449963258947181,2.548841245978264e-15,-0.1036371243725462,0.3142987624874334,2.548841245978264e-13,-2.867678665988875,0.9999999999956759,1.382451749937153e-18,2.940765137966856e-06,-2.513328711691424e-22
0.03,0.0001928518277372171,4.426370851505424e-17,89.99733970520766,0.009528243880701668,1.8775296039516e-15,-0.08743201714703437,0.3078280621754481,-6.713116436022241e-14,1.620510722551355,0.9999999999812815,-6.609752220402591e-18,6.118571641464897e-06,-6.477404366681535e-22,0.0001928518277372158,4.426370851979722e-17,89.99733970520766,0.009528243880701556,1.877529606001458e-15,-0.08743201714703577,0.3078280621754375,-6.713116399768067e-14,1.620510722551045,0.9999999999812815,-6.60975222089019e-18,6.118571641464788e-06,-6.477404366640021e-22
0.04,0.0003184077518643722,1.956956700214948e-17,89.99687370901103,0.01255559241271552,-2.469414151290475e-15,-0.04659961966332554,0.3027348532013852,-4.346943755242075e-13,4.083239748370883,0.9999999999483227,-1.03952552515434e-17,1.016635235520443e-05,6.488381187154001e-19,0.000318407751864378,1.956956701097331e-17,89.99687370901103,0.01255559241271621,-2.469414150882391e-15,-0.04659961966332563,0.3027348532014657,-4.346943756883849e-13,4.083239748371014,0.9999999999483227,-1.039525525190521e-17,1.016635235520456e-05,6.488381187153955e-19
0.05,0.0004736153464639669,1.585287134769548e-18,89.99683484073549,0.01552075945995947,-1.798427986737993e-15,-0.003886827554433413,0.2965167047243946,6.709861645524818e-14,4.271279210889213,0.9999999998896484,-2.792736697211459e-17,1.48560875635183e-05,2.737648555951541e-18,0.0004736153464639637,1.585287124815266e-18,89.99683484073549,0.01552075945995857,-1.798427988615805e-15,-0.003886827554433391,0.2965167047242362,6.709861622665869e-14,4.271279210889224,0.9999999998896484,-2.792736697136365e-17,1.485608756351787e-05,2.737648555951847e-18
0.06,0.0006577538906874673,3.64420517283067e-17,89.99708989315879,0.01841385442235004,3.485676459353715e-15,0.02550524233028829,0.2893094962390574,5.284104446091709e-13,2.93920698847217,0.999999999799671,-2.888475465828843e-17,2.001644243897146e-05,2.890755286125738e-18,0.0006577538906874623,3.64420517275393e-17,89.99708989315879,0.01841385442234986,3.485676460272403e-15,0.02550524233028832,0.2893094962391282,5.284104448888208e-13,2.939206988472171,0.999999999799671,-2.888475465717073e-17,2.001644243897225e-05,2.890755286126167e-18
0.07000000000000001,0.0008700720937912911,-9.942698053927245e-17,89.99745318071263,0.02123182031038237,-1.358690322675792e-14,0.03632875538329637,0.2817965888032334,-1.707257968611163e-12,1.082351305300808,0.999999999673994,-5.410781528612736e-17,2.553452692605522e-05,6.027611043228017e-18,0.0008700720937913015,-9.942698055655155e-17,89.99745318071263,0.02123182031038392,-1.358690322840908e-14,0.03632875538329623,0.2817965888034065,-1.707257968868149e-12,1.082351305300791,0.999999999673994,-5.410781528431977e-17,2.553452692605448e-05,6.027611043228522e-18
0.08,0.001109843739826951,-8.936252817157732e-17,89.99776667457799,0.02397716460356596,1.006445236769513e-15,0.03134938653663387,0.2745344293183585,1.459334846352743e-12,-0.4979368846662502,0.9999999995088522,-4.268078927926118e-17,3.134159596633401e-05,8.866584160115374e-18,0.001109843739826906,-8.936252816157343e-17,89.99776667457799,0.02397716460356043,1.006445239497812e-15,0.03134938653663347,0.2745344293176508,1.459334846790689e-12,-0.4979368846662766,0.9999999995088522,-4.268078927850818e-17,3.134159596633017e-05,8.866584160115202e-18
0.09,0.001376398567385096,1.619047868886177e-16,89.99794285524293,0.02665548275581447,2.51267315060195e-14,0.01761806649355036,0.2678318152248511,2.412028626924999e-12,-1.373132004308351,0.9999999993007274,1.306157832379204e-17,3.739713031518838e-05,7.100024338624614e-18,0.001376398567385083,1.619047869281507e-16,89.99794285524293,0.02665548275581771,2.512673150897241e-14,0.01761806649355049,0.2678318152257282,2.41202862694746e-12,-1.373132004308297,0.9999999993007274,1.306157832360663e-17,3.739713031518902e-05,7.100024338623257e-18
